text,target,clean_txt,Message_Length,Word_Count,Avg_Word,Unique_Words,Stopwords,#_Count
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,sure long stood long enough begin feel awkwardly place,107,23,3.6956521739130435,21,14,0
I can't wait to go back.,1,cant wait go back,24,6,3.1666666666666665,6,3,0
We recently witnessed her poor quality of management towards other guests as well.,0,recently witnessed poor quality management towards guests well,82,13,5.384615384615385,13,5,0
"On the up side, their cafe serves really good food.",1,side cafe serves really good food,51,10,4.2,10,4,0
Today is the second time I've been to their lunch buffet and it was pretty good.,1,today second time ive lunch buffet pretty good,80,16,4.0625,16,9,0
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers,139,24,4.833333333333333,21,9,0
All I have to say is the food was amazing!!!,1,say food amazing,44,10,3.5,10,7,0
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection,83,15,4.6,14,8,0
Join the club and get awesome offers via email.,1,join club get awesome offers via email,47,9,4.333333333333333,9,3,0
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,id say would hardest decision honestly ms dishes taste supposed taste amazing,121,21,4.809523809523809,20,11,0
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,drive thru means want wait around half hour food somehow end going make us wait wait,147,32,3.625,30,16,0
Will go back next trip out.,1,go back next trip,27,6,3.6666666666666665,6,0,0
I probably would not go here again.,0,probably would go,35,7,4.142857142857143,7,4,0
"When I opened the sandwich, I was impressed, but not in a good way.",0,opened sandwich impressed good way,67,14,3.857142857142857,13,9,0
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps caught night judging reviews inspired go back,100,20,4.05,20,12,0
"A couple of months later, I returned and had an amazing meal.",1,couple months later returned amazing meal,61,12,4.166666666666667,12,6,0
I dont think I will be back for a very long time.,0,think back long time,49,12,3.1666666666666665,12,6,0
Sauce was tasteless.,0,sauce tasteless,20,3,6.0,3,1,0
"After 20 minutes wait, I got a table.",0, minutes wait got table,37,8,3.75,8,3,0
I was seated immediately.,1,seated immediately,25,4,5.5,4,2,0
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,never ever go back told many people happened,68,13,4.3076923076923075,13,5,0
It shouldn't take 30 min for pancakes and eggs.,0,shouldnt take  min pancakes eggs,47,9,4.333333333333333,9,4,0
will definitely be back!,1,definitely back,24,4,5.25,4,1,0
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauce tasty,62,12,4.25,10,6,0
"This isn't a small family restaurant, this is a fine dining establishment.",1,isnt small family restaurant fine dining establishment,74,12,5.25,11,6,0
Very disappointing!!!,0,disappointing,21,2,10.0,2,1,0
I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,work hospitality industry paradise valley refrained recommending cibo longer,107,17,5.352941176470588,16,8,0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0,potatoes like rubber could tell made ahead time kept warmer,111,22,4.090909090909091,22,14,0
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter wasnt helpful friendly rarely checked us,63,11,4.818181818181818,11,5,0
Worst martini ever!,0,worst martini ever,19,3,5.666666666666667,3,0,0
We will not be coming back.,0,coming back,27,6,3.6666666666666665,6,3,0
It was probably dirt.,0,probably dirt,21,4,4.5,4,2,0
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,anyways food definitely filling price pay expect,102,19,4.421052631578948,18,10,0
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price cannot beat,54,11,4.0,11,5,0
Service was exceptional and food was a good as all the reviews.,1,service exceptional food good reviews,63,12,4.333333333333333,11,7,0
They have a really nice atmosphere.,1,really nice atmosphere,35,6,5.0,6,3,0
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,heart attack grill downtown vegas absolutely flatlined excuse restaurant,93,15,5.266666666666667,15,6,0
I LOVED it!,1,loved,11,3,3.0,3,1,0
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,seems like good quick place grab bite familiar pub food favor look elsewhere,115,23,4.043478260869565,21,11,0
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland liking place number reasons want waste time bad reviewing ill leave,131,26,4.076923076923077,25,14,0
"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,watched prices inflate portions get smaller management attitudes grow rapidly,96,14,5.928571428571429,14,5,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,least think refill water struggle wave  minutes,84,17,4.0,16,9,0
I had about two bites and refused to eat anymore.,0,two bites refused eat anymore,49,10,4.0,10,5,0
A fantastic neighborhood gem !!!,1,fantastic neighborhood gem ,32,5,5.6,5,1,0
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hits spot want something healthy lacking quantity flavor,99,18,4.555555555555555,18,8,0
I did not expect this to be so good!,1,expect good,36,9,3.111111111111111,9,7,0
It was just not a fun experience.,1,fun experience,33,7,3.857142857142857,7,5,0
I paid the bill but did not tip because I felt the server did a terrible job.,0,paid bill tip felt server terrible job,77,17,3.588235294117647,15,10,0
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,place overpriced consistent boba really overpriced,86,14,5.214285714285714,13,8,0
The restaurant atmosphere was exquisite.,1,restaurant atmosphere exquisite,40,5,7.2,5,2,0
Best fish I've ever had in my life!,1,best fish ive ever life,35,8,3.5,8,5,0
As a sushi lover avoid this place by all means.,0,sushi lover avoid place means,47,10,3.8,10,5,0
I can assure you that you won't be disappointed.,1,assure wont disappointed,48,9,4.444444444444445,8,7,0
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,staff always super friendly helpful especially cool bring two small boys baby,114,21,4.476190476190476,19,9,0
The Burrittos Blah!,0,burrittos blah,19,3,5.666666666666667,3,1,0
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse take full shower unless mind nude everyone see,127,25,4.12,24,13,0
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.",1,food good enjoyed every mouthful enjoyable relaxed venue couples small family groups etc,116,20,4.85,20,7,0
I will not return.,0,return,18,4,3.75,4,2,0
I left with a stomach ache and felt sick the rest of the day.,0,left stomach ache felt sick rest day,61,14,3.4285714285714284,13,7,0
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order sad could probably count many chips box probably around ,118,23,4.173913043478261,21,11,0
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything ordered stale,99,16,5.25,15,7,0
"The burger is good beef, cooked just right.",1,burger good beef cooked right,43,8,4.5,8,3,0
Cooked to perfection and the service was impeccable.,1,cooked perfection service impeccable,52,8,5.625,8,4,0
Have been going since 2007 and every meal has been awesome!!,1,going since  every meal awesome,60,11,4.545454545454546,10,6,0
I think not again,0,think,17,4,3.5,4,3,0
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place handsdown one best places eat phoenix metro area,81,16,4.125,15,7,0
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,call steakhouse cant properly cook steak understand,94,17,4.588235294117647,15,11,0
"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,food barely lukewarm must sitting waiting server bring us,104,21,4.0,19,12,0
"After one bite, I was hooked.",1,one bite hooked,29,6,4.0,6,3,0
Bacon is hella salty.,1,bacon hella salty,21,4,4.5,4,1,0
I'd love to go back.,1,id love go back,20,5,3.2,5,2,0
We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,ordered old classics new dishes going times sorely disappointed everything,124,21,4.9523809523809526,19,11,0
I will come back here every time I'm in Vegas.,1,come back every time vegas,46,10,3.7,10,4,0
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff friendly wait times served horrible one even says hi first  minutes,126,25,4.08,22,11,0
He was terrible!,0,terrible,16,3,4.666666666666667,3,2,0
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service little slow  considering served  people servers food coming slow pace,119,24,4.0,21,11,0
"If you look for authentic Thai food, go else where.",0,look authentic thai food go else,51,10,4.2,10,4,0
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.",0,worse humiliated worker right front mebunch horrible name callings,93,16,4.875,14,6,0
Check it out.,1,check,13,3,3.6666666666666665,3,1,0
"The decor is nice, and the piano music soundtrack is pleasant.",1,decor nice piano music soundtrack pleasant,62,11,4.7272727272727275,10,5,0
So they performed.,1,performed,18,3,5.333333333333333,3,2,0
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,burgers arent good pizza used amazing doughy flavorless,92,17,4.470588235294118,16,9,0
Very poor service.,0,poor service,18,3,5.333333333333333,3,1,0
"Great food and service, huge portions and they give a military discount.",1,great food service huge portions give military discount,72,12,5.083333333333333,11,4,0
This is a GREAT place to eat!,1,great place eat,29,7,3.2857142857142856,7,4,0
2 times - Very Bad Customer Service !,0, times  bad customer service ,37,8,3.75,8,1,0
"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,know big deal place wont back yaall,81,17,3.823529411764706,17,11,0
I liked the patio and the service was outstanding.,1,liked patio service outstanding,50,9,4.666666666666667,8,5,0
The food was terrible.,0,food terrible,22,4,4.75,4,2,0
You can't beat that.,1,cant beat,20,4,4.25,4,2,0
Those burgers were amazing.,1,burgers amazing,27,4,6.0,4,2,0
She ordered a toasted English muffin that came out untoasted.,0,ordered toasted english muffin came untoasted,61,10,5.2,10,4,0
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1,also taste moms multigrain pumpkin pancakes pecan butter amazing fluffy delicious,121,20,5.1,19,10,0
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,took hour get food  tables restaurant food luke warm sever running around like totally overwhelmed,141,27,4.2592592592592595,24,13,0
The warm beer didn't help.,0,warm beer didnt help,26,5,4.4,5,2,0
Restaurant is always full but never a wait.,1,restaurant always full never wait,43,8,4.5,8,3,0
A great way to finish a great.,1,great way finish great,30,7,3.4285714285714284,7,3,0
"For sushi on the Strip, this is the place to go.",1,sushi strip place go,48,11,3.4545454545454546,10,7,0
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,feel dining room college cooking course high class dining service slow best,116,22,4.318181818181818,19,10,0
Food arrived quickly!,1,food arrived quickly,21,3,6.333333333333333,3,0,0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,single employee came see ok even needed water refill finally served us food,119,25,3.8,24,12,0
This place is way too overpriced for mediocre food.,0,place way overpriced mediocre food,51,9,4.777777777777778,9,4,0
I can say that the desserts were yummy.,1,say desserts yummy,39,8,4.0,8,5,0
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,whole experience underwhelming think well go ninja sushi next time,91,16,4.75,16,7,0
"This was my first crawfish experience, and it was delicious!",1,first crawfish experience delicious,60,10,5.1,9,6,0
Would come back again if I had a sushi craving while in Vegas.,1,would come back sushi craving vegas,62,13,3.8461538461538463,13,8,0
Will be back again!,1,back,19,4,4.0,4,1,0
Eclectic selection.,1,eclectic selection,19,2,9.0,2,0,0
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff,82,14,4.928571428571429,14,7,0
No one at the table thought the food was above average or worth the wait that we had for it.,0,one table thought food average worth wait,92,20,3.65,18,12,0
"It was either too cold, not enough flavor or just bad.",0,either cold enough flavor bad,54,11,4.0,11,6,0
Generous portions and great taste.,1,generous portions great taste,34,5,6.0,5,1,0
Food was really boring.,0,food really boring,23,4,5.0,4,1,0
And then tragedy struck.,0,tragedy struck,24,4,5.25,4,2,0
Waitress was sweet and funny.,1,waitress sweet funny,29,5,5.0,5,2,0
This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay,47,9,4.333333333333333,9,5,0
